Max Drift,Rapport Period,Amortization Period,Avg. Error,Median Error,Max Absolute Error,Error Standard Deviation
50,10000000,5000000,-2147.9437483798497,-2103,6847,883.5227803204939
50,20000000,5000000,-2627.584727251825,-2583.0,7763,982.2453064868698
50,30000000,5000000,-3145.610810031709,-3148.0,5713,1021.4597025671569
50,40000000,5000000,-3509.5285416546053,-3515.0,6559,1244.7016499451247
50,50000000,5000000,-4212.601215752428,-4035.0,14947,2047.6438657459314
50,60000000,5000000,-4644.437437876396,-4598.5,11589,1907.074943753891
