Server clock before sync: 33
Synchronizing server_clock...
[1/51] [2/51] [3/51] [4/51] [5/51] [6/51] [7/51] [8/51] [9/51] [10/51] 
[11/51] [12/51] [13/51] [14/51] [15/51] [16/51] [17/51] [18/51] [19/51] [20/51] 
[21/51] [22/51] [23/51] [24/51] [25/51] [26/51] [27/51] [28/51] [29/51] [30/51] 
[31/51] [32/51] [33/51] [34/51] [35/51] [36/51] [37/51] [38/51] [39/51] [40/51] 
[41/51] [42/51] [43/51] [44/51] [45/51] [46/51] [47/51] [48/51] [49/51] [50/51] 
Best Server Sync RTT: 17764, Worst Server Sync RTT: 18782
Average RTT: 17968.020000
Est Server Time: 1656939962, Computed Server Time offset: 1656041177
Server clock after sync: 1656939963

====== SIMULATION METADATA     =====
Server IP: 128.83.139.94, Port: 8000
Server Drift: 0.00 PPM, Client VHC Drift: 0.00 PPM
Relative Drift Weight: -2.55
Local Server Time Error: 8882
Rapport Period: 2000000
Amortization Period: 1000000
Simulation runtime: 3600 seconds
Simulation runtime: 3600000000 usec, 
 Start: 4249663978, End: 7849663978
====== SIMULATION OUTPUT START =====
Current Real Time,Real Time Elapsed (sec),Local Server Time,Hardware Clock Time,Software Clock Time,Error,Remote Est Time,
4269375583,19.71160,1676651519,20610344,1676651529,10,,
4269625763,19.96178,1676901699,20860524,1676901708,9,,
4269876126,20.21215,1677152061,21110886,1677152070,9,,
4269894050,20.23007,1677169984,21128808,1677169993,9,1677169971,
4270144397,20.48042,1677420332,21379156,1677420335,3,,
4270394560,20.73058,1677670494,21629318,1677670493,-1,,
4270645098,20.98112,1677921032,21879856,1677921026,-6,,
4270895669,21.23169,1678171603,22130428,1678171592,-11,,
4271145822,21.48184,1678421755,22380579,1678421744,-11,,
4271395965,21.73199,1678671896,22630720,1678671885,-11,,
4271646332,21.98235,1678922263,22881088,1678922252,-11,,
4271896460,22.23248,1679172391,23131215,1679172380,-11,,
4271914477,22.25050,1679190407,23149231,1679190395,-12,1679190338,
4272164578,22.50060,1679440507,23399331,1679440481,-26,,
4272414774,22.75080,1679690703,23649528,1679690663,-40,,
4272664927,23.00095,1679940855,23899680,1679940803,-52,,
4272915566,23.25159,1680191494,24150319,1680191427,-67,,
4273165673,23.50170,1680441600,24400424,1680441533,-67,,
4273416027,23.75205,1680691953,24650778,1680691886,-67,,
4273666550,24.00257,1680942477,24901301,1680942410,-67,,
4273916706,24.25273,1681192631,25151456,1681192564,-67,,
4273934741,24.27076,1681210666,25169490,1681210598,-68,1681210591,
4274185566,24.52159,1681461490,25420315,1681461421,-69,,
4274435883,24.77191,1681711807,25670632,1681711737,-70,,
4274686233,25.02226,1681962156,25920980,1681962084,-72,,
4274936417,25.27244,1682212339,26171164,1682212277,-62,,
4275186704,25.52273,1682462626,26421451,1682462553,-73,,
4275436962,25.77298,1682712885,26671710,1682712812,-73,,
4275687317,26.02334,1682963237,26922061,1682963164,-73,,
4275937563,26.27359,1683213483,27172308,1683213411,-72,,
4275955383,26.29141,1683231302,27190126,1683231229,-73,1683231320,
4276206059,26.54208,1683481978,27440803,1683481927,-51,,
4276457117,26.79314,1683733035,27691860,1683733008,-27,,
4276707581,27.04360,1683983499,27942323,1683983496,-3,,
4276957739,27.29376,1684233656,28192481,1684233676,20,,
4277207895,27.54392,1684483811,28442636,1684483831,20,,
4277458052,27.79407,1684733968,28692793,1684733989,21,,
4277708470,28.04449,1684984386,28943211,1684984406,20,,
4277959099,28.29512,1685235014,29193839,1685235034,20,,
4277977126,28.31315,1685253041,29211865,1685253060,19,1685252994,
4278227422,28.56344,1685503336,29462161,1685503340,4,,
4278477548,28.81357,1685753461,29712286,1685753450,-11,,
4278728086,29.06411,1686003999,29962824,1686003970,-29,,
4278978188,29.31421,1686254101,30212925,1686254056,-45,,
4279229066,29.56509,1686504978,30463803,1686504933,-45,,
4279479218,29.81524,1686755130,30713956,1686755087,-43,,
4279730031,30.06605,1687005941,30964766,1687005896,-45,,
4279980802,30.31682,1687256711,31215536,1687256666,-45,,
4279998699,30.33472,1687274608,31233432,1687274563,-45,1687274671,
4280249248,30.58527,1687525158,31483982,1687525139,-19,,
4280499613,30.83563,1687775521,31734346,1687775531,10,,
4280750216,31.08624,1688026123,31984948,1688026160,37,,
4281000743,31.33676,1688276651,32235476,1688276716,65,,
4281251271,31.58729,1688527177,32486002,1688527242,65,,
4281501441,31.83746,1688777347,32736172,1688777412,65,,
4281751596,32.08762,1689027502,32986327,1689027567,65,,
4282001757,32.33778,1689277661,33236486,1689277726,65,,
4282019696,32.35572,1689295599,33254423,1689295663,64,1689295586,
4282269839,32.60586,1689545743,33504567,1689545789,46,,
4282520208,32.85623,1689796111,33754936,1689796138,27,,
4282770564,33.10659,1690046467,34005291,1690046475,8,,
4283021113,33.35713,1690297016,34255841,1690297005,-11,,
4283271615,33.60764,1690547516,34506340,1690547505,-11,,
4283521969,33.85799,1690797869,34756693,1690797858,-11,,
4283772107,34.10813,1691048008,35006832,1691047997,-11,,
4284022567,34.35859,1691298466,35257291,1691298455,-11,,
4284040259,34.37628,1691316157,35274981,1691316146,-11,1691316177,
4284290918,34.62694,1691566816,35525641,1691566812,-4,,
4284541055,34.87708,1691816953,35775778,1691816958,5,,
4284791502,35.12752,1692067400,36026225,1692067413,13,,
4285042398,35.37842,1692318294,36277119,1692318315,21,,
4285292663,35.62868,1692568560,36527384,1692568581,21,,
4285543036,35.87906,1692818931,36777756,1692818952,21,,
4285793550,36.12957,1693069445,37028270,1693069466,21,,
4286044092,36.38011,1693319986,37278810,1693320007,21,,
4286061948,36.39797,1693337841,37296665,1693337862,21,1693337805,
4286312929,36.64895,1693588823,37547647,1693588830,7,,
4286563570,36.89959,1693839464,37798289,1693839457,-7,,
4286813753,37.14977,1694089646,38048470,1694089624,-22,,
4287064041,37.40006,1694339932,38298757,1694339898,-34,,
4287314191,37.65021,1694590082,38548906,1694590048,-34,,
4287564333,37.90035,1694840223,38799047,1694840189,-34,,
4287814519,38.15054,1695090408,39049233,1695090375,-33,,
4288065128,38.40115,1695341017,39299841,1695340983,-34,,
4288083002,38.41902,1695358890,39317715,1695358856,-34,1695358877,
4288333148,38.66917,1695609036,39567861,1695609008,-28,,
4288583311,38.91933,1695859199,39818023,1695859177,-22,,
