Server clock before sync: 37
Synchronizing server_clock...
[1/51] [2/51] [3/51] [4/51] [5/51] [6/51] [7/51] [8/51] [9/51] [10/51] 
[11/51] [12/51] [13/51] [14/51] [15/51] [16/51] [17/51] [18/51] [19/51] [20/51] 
[21/51] [22/51] [23/51] [24/51] [25/51] [26/51] [27/51] [28/51] [29/51] [30/51] 
[31/51] [32/51] [33/51] [34/51] [35/51] [36/51] [37/51] [38/51] [39/51] [40/51] 
[41/51] [42/51] [43/51] [44/51] [45/51] [46/51] [47/51] [48/51] [49/51] [50/51] 
Best Server Sync RTT: 18031, Worst Server Sync RTT: 19612
Average RTT: 18243.680000
Est Server Time: 2331798127, Computed Server Time offset: 2330885616
Server clock after sync: 2331798129

====== SIMULATION METADATA     =====
Server IP: 128.83.139.94, Port: 8000
Server Drift: 0.00 PPM, Client VHC Drift: 0.00 PPM
Relative Drift Weight: -3.40
Local Server Time Error: 9015
Rapport Period: 2000000
Amortization Period: 1000000
Simulation runtime: 3600 seconds
Simulation runtime: 3600000000 usec, 
 Start: 4924524702, End: 8524524702
====== SIMULATION OUTPUT START =====
Current Real Time,Real Time Elapsed (sec),Local Server Time,Hardware Clock Time,Software Clock Time,Error,Remote Est Time,
4944235322,19.71062,2351508683,20623069,2351508659,-24,,
4944485445,19.96074,2351758805,20873191,2351758780,-25,,
4944736066,20.21136,2352009425,21123811,2352009400,-25,,
4944754278,20.22958,2352027636,21142021,2352027611,-25,2352027587,
4945004363,20.47966,2352277721,21392106,2352277688,-33,,
4945254516,20.72981,2352527874,21642259,2352527837,-37,,
4945504634,20.97993,2352777991,21892376,2352777948,-43,,
4945754768,21.23007,2353028125,22142511,2353028077,-48,,
4946004894,21.48019,2353278249,22392635,2353278201,-48,,
4946255035,21.73033,2353528389,22642774,2353528341,-48,,
4946505166,21.98046,2353778519,22892905,2353778471,-48,,
4946755764,22.23106,2354029116,23143502,2354029068,-48,,
4946774036,22.24933,2354047387,23161772,2354047339,-48,2354047441,
4947024354,22.49965,2354297705,23412090,2354297682,-23,,
4947274551,22.74985,2354547902,23662288,2354547906,4,,
4947524695,22.99999,2354798046,23912432,2354798086,40,,
4947775244,23.25054,2355048593,24162979,2355048648,55,,
4948025688,23.50099,2355299037,24413422,2355299092,55,,
4948275846,23.75114,2355549193,24663579,2355549248,55,,
4948526279,24.00158,2355799625,24914011,2355799680,55,,
4948776732,24.25203,2356050077,25164463,2356050132,55,,
4948794957,24.27025,2356068301,25182687,2356068356,55,2356068348,
4949045079,24.52038,2356318425,25432810,2356318478,53,,
4949295592,24.77089,2356568936,25683322,2356568988,52,,
4949546231,25.02153,2356819574,25933960,2356819624,50,,
4949796624,25.27192,2357069967,26184352,2357070015,48,,
4950046770,25.52207,2357320111,26434497,2357320160,49,,
4950296902,25.77220,2357570253,26684638,2357570302,49,,
4950547029,26.02233,2357820368,26934754,2357820417,49,,
4950797452,26.27275,2358070791,27185177,2358070840,49,,
4950815611,26.29091,2358088950,27203335,2358088999,49,2358088926,
4951065741,26.54104,2358339079,27453465,2358339109,30,,
4951315862,26.79116,2358589198,27703584,2358589211,13,,
4951565983,27.04128,2358839320,27953705,2358839315,-5,,
4951816123,27.29142,2359089457,28203843,2359089435,-22,,
4952066224,27.54152,2359339559,28453944,2359339537,-22,,
4952316831,27.79213,2359590165,28704551,2359590143,-22,,
4952567044,28.04234,2359840377,28954763,2359840355,-22,,
4952817572,28.29287,2360090904,29205290,2360090882,-22,,
4952835678,28.31098,2360109010,29223395,2360108987,-23,2360108974,
4953085877,28.56117,2360359208,29473594,2360359182,-26,,
4953336327,28.81162,2360609657,29724042,2360609628,-29,,
4953586831,29.06213,2360860161,29974546,2360860129,-32,,
4953837600,29.31290,2361110929,30225315,2361110895,-34,,
4954088653,29.56395,2361361980,30476366,2361361946,-34,,
4954339234,29.81453,2361612561,30726947,2361612528,-33,,
4954589651,30.06495,2361862978,30977364,2361862944,-34,,
4954840516,30.31581,2362113852,31228238,2362113818,-34,,
4954858742,30.33404,2362132066,31246451,2362132032,-34,2362131991,
4955108869,30.58417,2362382193,31496578,2362382149,-44,,
4955359891,30.83519,2362633214,31747599,2362633160,-54,,
4955610177,31.08547,2362883499,31997885,2362883435,-64,,
4955860363,31.33566,2363133683,32248069,2363133619,-
